ID_Cliente,Dejo_el_servicio,Genero,Ciudadano_Mayor,Pareja,Dependientes,Tiempo_Servicio,Servicio_Telefonico,Multiples_Lineas,Servicio_Internet,Seguridad_Online,Copia_Seguridad_Online,Proteccion_Dispositivo,Soporte_Tecnico,Streaming_TV,Streaming_Peliculas,Contrato,Facturacion_Electronica,Metodo_Pago,Cargos_Mensuales,Cargos_Totales,Cuentas_Diarias,Cantidad_Servicios
0002ORFBO,0,f,0,1,1,9,1,no,dsl,no,si,no,si,si,no,un ano,1,cheque enviado por correo,65.6,593.3,2.1550591327201047,5
0003MKNFE,0,m,0,0,0,9,1,si,dsl,no,no,no,no,no,si,mes a mes,0,cheque enviado por correo,59.9,542.4,1.9678055190538764,4
0004TLHLJ,1,m,0,0,0,4,1,no,fibra optica,no,no,si,no,no,no,mes a mes,1,cheque electronico,73.9,280.85,2.4277266754270697,3
0011IGKFF,1,m,1,1,0,13,1,no,fibra optica,no,si,si,no,si,si,mes a mes,1,cheque electronico,98.0,1237.85,3.219448094612352,6
0013EXCHZ,1,f,1,1,0,3,1,no,fibra optica,no,no,no,si,si,no,mes a mes,1,cheque enviado por correo,83.9,267.4,2.7562417871222076,4
0013MHZWF,0,f,0,0,1,9,1,no,dsl,no,no,no,si,si,si,mes a mes,1,credit card automatic,69.4,571.45,2.2798948751642576,5
0013SMEOE,0,f,1,1,0,71,1,no,fibra optica,si,si,si,si,si,si,dos anos,1,bank transfer automatic,109.7,7904.25,3.6038107752956634,8
0014BMAQU,0,m,0,1,0,63,1,si,fibra optica,si,no,no,si,no,no,dos anos,1,credit card automatic,84.65,5377.8,2.780880420499343,5
0015UOCOJ,0,f,1,0,0,7,1,no,dsl,si,no,no,no,no,no,mes a mes,1,cheque electronico,48.2,340.35,1.583442838370565,3
0016QLJIS,0,f,0,1,1,65,1,si,dsl,si,si,si,si,si,si,dos anos,1,cheque enviado por correo,90.45,5957.9,2.971419185282523,9
0017DINOC,0,m,0,0,0,54,0,nst,dsl,si,no,no,si,si,no,dos anos,0,credit card automatic,45.2,2460.55,1.4848883048620236,4
0017IUDMW,0,f,0,1,1,72,1,si,fibra optica,si,si,si,si,si,si,dos anos,1,credit card automatic,116.8,8456.75,3.8370565045992113,9
0018NYROU,0,f,0,1,0,5,1,no,fibra optica,no,no,no,no,no,no,mes a mes,1,cheque electronico,68.95,351.5,2.265111695137976,2
0019EFAEP,0,f,0,0,0,72,1,si,fibra optica,si,si,si,no,si,no,dos anos,1,bank transfer automatic,101.3,7261.25,3.3278580814717476,7
0019GFNTW,0,f,0,0,0,56,0,nst,dsl,si,si,si,si,no,no,dos anos,0,bank transfer automatic,45.05,2560.1,1.4799605781865963,5
0020INWCK,0,f,0,1,1,71,1,si,fibra optica,no,si,si,no,no,si,dos anos,1,credit card automatic,95.75,6849.4,3.145532194480946,6
0020JDNXP,0,f,0,1,1,34,0,nst,dsl,si,no,si,si,si,si,un ano,0,cheque enviado por correo,61.25,1993.2,2.01215505913272,6
0021IKXGC,0,f,1,0,0,1,1,si,fibra optica,no,no,no,no,no,no,mes a mes,1,cheque electronico,72.1,72.1,2.3685939553219444,3
0022TCJCI,1,m,1,0,0,45,1,no,dsl,si,no,si,no,no,si,un ano,0,credit card automatic,62.7,2791.5,2.059789750328515,5
0023HGHWL,1,m,1,0,0,1,0,nst,dsl,no,no,no,no,no,no,mes a mes,1,cheque electronico,25.1,25.1,0.8245729303547963,1
0023UYUPN,0,f,1,1,0,50,1,si,no,nsin,nsin,nsin,nsin,nsin,nsin,un ano,0,cheque electronico,25.2,1306.3,0.8278580814717477,2
0023XUOPT,1,f,0,1,0,13,1,si,fibra optica,no,si,si,no,si,no,mes a mes,0,cheque electronico,94.1,1215.6,3.0913272010512483,6
0027KWYKW,0,f,0,1,1,23,1,si,fibra optica,no,no,no,no,si,no,mes a mes,1,cheque electronico,83.75,1849.95,2.7513140604467803,4
0030FNXPP,0,f,0,0,0,3,1,no,no,nsin,nsin,nsin,nsin,nsin,nsin,mes a mes,0,cheque enviado por correo,19.85,57.2,0.6521024967148489,1
0031PVLZI,1,f,0,1,1,4,1,no,no,nsin,nsin,nsin,nsin,nsin,nsin,mes a mes,0,cheque enviado por correo,20.35,76.35,0.6685282522996058,1
0032PGELS,1,f,0,1,1,1,0,nst,dsl,si,no,no,no,no,no,mes a mes,0,bank transfer automatic,30.5,30.5,1.0019710906701709,2
0036IHMOT,0,f,0,1,1,55,1,no,fibra optica,no,si,si,si,si,si,un ano,1,bank transfer automatic,103.7,5656.75,3.4067017082785807,7
0040HALCW,0,m,0,1,1,54,1,no,no,nsin,nsin,nsin,nsin,nsin,nsin,dos anos,0,credit card automatic,20.4,1090.6,0.6701708278580814,1
0042JVWOJ,0,m,0,0,0,26,1,no,no,nsin,nsin,nsin,nsin,nsin,nsin,un ano,1,bank transfer automatic,19.6,471.85,0.6438896189224704,1
0042RLHYP,0,f,0,1,1,69,1,no,no,nsin,nsin,nsin,nsin,nsin,nsin,dos anos,0,bank transfer automatic,19.7,1396.9,0.6471747700394218,1
0047ZHDTW,0,f,0,0,0,11,1,si,fibra optica,si,no,no,no,no,no,mes a mes,1,bank transfer automatic,79.0,929.3,2.59526938239159,4
0048LUMLS,0,m,0,1,1,37,1,no,fibra optica,no,no,no,no,si,si,un ano,0,credit card automatic,91.2,3247.55,2.9960578186596583,4
0048PIHNL,0,f,0,1,0,49,1,no,no,nsin,nsin,nsin,nsin,nsin,nsin,un ano,0,bank transfer automatic,20.45,900.9,0.6718134034165572,1
0052DCKON,0,m,0,1,0,66,1,si,fibra optica,si,si,si,si,si,si,un ano,0,bank transfer automatic,115.8,7942.15,3.8042049934296975,9
0052YNYOT,0,f,0,0,0,67,1,no,no,nsin,nsin,nsin,nsin,nsin,nsin,un ano,0,cheque electronico,20.55,1343.4,0.6750985545335085,1
0056EPFBG,0,m,0,1,1,20,0,nst,dsl,si,no,si,si,no,no,dos anos,1,credit card automatic,39.4,825.4,1.2943495400788436,4
0057QBUQH,0,f,0,0,1,43,1,si,no,nsin,nsin,nsin,nsin,nsin,nsin,dos anos,1,cheque electronico,25.1,1070.15,0.8245729303547963,2
0058EVZWM,0,f,0,1,0,55,1,si,fibra optica,si,no,no,no,si,no,mes a mes,1,bank transfer automatic,89.8,4959.6,2.950065703022339,5
0060FUALY,0,f,0,1,0,59,1,si,fibra optica,si,si,no,no,si,no,mes a mes,1,cheque electronico,94.75,5597.65,3.112680683311432,6
